,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,WIFI,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
1786,4,3,3,5,4,4,4,4,3,4,4,4,4,4,4
1787,4,4,4,4,4,4,4,4,4,6,6,6,6,6,4
1788,5,5,5,5,5,0,0,5,5,5,5,0,0,0,5
1789,0,3,3,3,3,5,4,4,4,4,4,4,4,4,4
1790,4,3,3,3,3,4,3,3,1,4,6,6,6,6,3
1791,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5
1792,5,4,4,5,4,4,6,6,3,4,4,6,6,6,5
1793,3,3,3,3,4,3,2,2,3,4,4,4,6,4,4
1794,4,3,5,5,5,5,5,5,1,5,5,6,5,6,5
1795,5,4,4,4,5,5,5,5,4,5,5,6,6,6,4
1796,4,4,4,5,5,4,5,5,4,5,5,5,5,5,5
1797,6,5,5,5,5,5,5,5,3,5,5,5,5,5,4
1798,5,6,6,5,5,5,5,5,5,5,6,4,6,6,5
1799,4,4,6,5,5,4,3,3,5,4,4,6,6,6,4
1800,6,6,6,6,2,3,6,6,3,0,0,0,0,0,4
1801,4,3,3,4,4,4,4,4,2,4,4,4,4,4,4
1802,6,6,2,4,4,2,6,6,5,6,6,6,6,6,3
1803,4,4,3,3,4,4,4,4,4,3,3,4,3,4,4
1804,6,6,3,4,4,3,6,6,6,6,6,6,6,6,3
1805,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1806,6,4,3,4,4,4,4,4,4,4,6,5,6,5,4
1807,3,3,2,3,3,4,4,4,4,4,0,0,0,0,3
1808,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5
1809,6,6,3,3,3,6,6,6,4,6,6,6,6,6,4
1810,3,3,3,3,3,3,2,2,2,6,6,6,6,6,3
1811,4,4,4,3,4,4,6,6,5,5,4,4,6,4,4
1812,5,4,3,5,5,4,3,3,5,5,5,5,5,5,4
1813,6,3,3,4,4,4,4,4,2,3,6,5,6,6,4
1814,5,6,3,5,5,5,6,6,5,5,4,5,6,6,5
1815,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5
1816,3,4,4,4,4,3,3,3,5,4,6,6,6,6,4
1817,3,3,3,3,4,4,3,3,2,6,6,6,6,6,3
1818,5,2,5,5,4,5,6,5,3,5,6,6,6,6,4
1819,4,6,3,3,4,4,6,6,6,6,6,6,6,6,4
1820,6,6,6,3,3,2,6,6,6,3,6,6,6,6,2
1821,4,2,3,3,3,3,6,6,3,3,6,6,6,6,4
1822,3,3,6,5,6,5,6,6,6,5,6,6,6,6,4
1823,4,3,2,5,5,4,3,3,5,2,3,1,0,3,4
