,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
1604,4,4,3,3,4,4,4,4,2,3,4,3,2,4
1605,3,4,3,4,4,2,6,6,3,4,4,6,4,4
1606,5,5,5,5,5,5,5,0,4,0,5,0,4,5
1607,4,2,3,5,5,5,6,6,2,3,6,5,6,4
1608,6,4,6,5,4,4,6,6,4,4,6,6,6,3
1609,2,6,4,4,4,4,6,6,4,4,5,6,5,4
1610,3,4,4,3,3,4,6,6,3,6,5,6,3,4
1611,4,4,4,4,3,3,6,6,4,6,4,6,4,4
1612,3,6,3,5,5,3,6,6,5,6,6,6,6,4
1613,4,6,6,5,5,5,6,6,6,6,4,6,6,4
1614,5,3,6,4,3,3,5,6,4,4,5,6,6,4
1615,3,3,3,4,5,5,6,6,5,6,5,6,2,4
1616,3,3,3,4,3,3,3,3,6,6,6,6,6,3
1617,3,3,3,3,3,3,4,4,0,0,0,0,0,3
1618,4,6,6,4,3,3,6,6,6,6,5,3,6,4
